Date;global radiation [Mj/qm];max temp [°C];min temp [°C];precipitation [mm];sunshine duration [h];rel hum [%];wind speed [m/s];mean temp [°C];dew point [°C];Kesselverdunstung [mm];vapour saturation deficit [%];snow height [mm];par [mol/qm*d];temp soil at 2cm [°C];temp soil at 5cm [°C];temp soil at 10cm [°C];temp soil at 20cm [°C];temp soil at 50cm [°C]
1997-01-01;3.06;-15.3;-20.5;0.0;4.5;86.0;1.1;-18.4;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-02;2.94;-12.8;-21.5;0.0;4.2;86.0;1.6;-16.8;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-03;1.84;-6.0;-16.1;1.2;0.0;86.0;4.5;-7.7;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-04;1.25;-4.9;-8.3;0.1;0.0;83.0;4.9;-6.2;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-05;2.97;-5.2;-11.0;0.0;1.1;93.0;2.7;-9.1;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-06;1.84;-5.6;-10.0;0.0;0.0;91.0;1.1;-6.8;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-07;1.76;-5.3;-7.5;0.0;0.0;92.0;2.7;-6.1;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-08;3.53;-6.0;-8.3;0.0;2.3;87.0;3.1;-7.5;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-09;0.82;-3.7;-8.3;0.0;0.0;90.0;3.4;-4.6;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-10;1.73;-2.8;-4.8;0.0;0.0;86.0;1.6;-3.9;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-11;2.27;-2.5;-5.6;0.0;0.0;91.0;0.7;-4.4;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-12;4.12;-0.2;-9.8;0.0;2.9;84.0;2.5;-3.3;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-13;3.2;3.7;-0.2;0.0;2.7;75.0;4.4;2.5;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
1997-01-14;4.63;7.3;0.2;0.0;6.3;69.0;2.6;2.8;-9.9;999.9;999.9;0;-99.9;-99.9;-99.9;-99.9;-99.9;-99.9
