Date,global radiation [Mj/qm],max temp [°C],min temp [°C],precipitation [mm],sunshine duration [h],rel hum [%],wind speed [m/s],mean temp [°C],dew point [°C],Kesselverdunstung [mm],vapour saturation deficit [%],snow height [mm],par [mol/qm*d],temp soil at 2cm [°C],temp soil at 5cm [°C],temp soil at 10cm [°C],temp soil at 20cm [°C],temp soil at 50cm [°C]
1997-01-01,5.82,-12,-16.5,0,2.1,81,1.5,-14.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-02,6.4,-9.7,-17.1,0,0.4,83,1.4,-14.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-03,1.51,-5.7,-14.9,0.1,0,78,1.4,-7.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-04,0.65,-5.5,-6.6,1.5,0,85,2,-6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-05,0.74,-5.4,-7.6,0.2,0,92,1.5,-6.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-06,2.6,-6.1,-9.2,0,0.1,83,1.5,-7.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-07,1.45,-6.7,-8.4,0,0,82,1.4,-7.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-08,1.46,-5.4,-8.6,0,0,82,1.1,-7.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-09,1.46,-3.5,-9.3,0,0,87,1.2,-4.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-10,0.97,-3.1,-4.3,0.7,0,90,1.6,-3.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-11,1.06,-1.5,-3.3,0,0,81,0.8,-2.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-12,4.32,-0.8,-5.1,0,6.8,78,1.7,-3.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-13,4.26,2.2,-7.6,0,5.2,83,1.5,-2.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-14,4.59,2.8,-6,0,6,88,1.4,-1.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-15,4.7,5,-6.2,0,6.7,80,1.6,-2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-16,4.8,1.5,-8.7,0,6.7,82,1.2,-4.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-01-17,4.88,2.8,-8.3,0,7,82,1.7,-3.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
